Thời gian,FDI,FDI đăng kí (lũy kế năm),FDI giải ngân (lũy kế năm),Thương mại (lũy kế năm),Xuất khẩu  (lũy kế năm),Nhập khẩu  (lũy kế năm),Cung tiền & tín dụng,Tăng trưởng tín dụng,Nông nghiệp,Thương mại,Công nghiệp,Xây dựng,Cung tiền M2,Tài khóa,Tổng thu,Nội địa,Tổng chi,Chi đầu tư phát triển,Chi thường xuyên,Chỉ số giá,Lạm phát cơ bản,Lạm phát,Thực phẩm,Nhà ở và VLXD,Y tế,Vận tải,Chỉ số PMI,Tăng trưởng GDP thực tế
-,-,% YoY,% YoY,-,% YoY,% YoY,-,% YoY,% YoY,% YoY,% YoY,% YoY,% YoY,-,% YoY,% YoY,% YoY,% YoY,% YoY,-,% YoY,% YoY,% YoY,% YoY,% YoY,% YoY,-,% YoY
T1 2017,-,19,6.3,-,6,3.2,-,19.5,17.7,29.2,18.3,21.8,19.7,-,N/A,N/A,N/A,N/A,N/A,-,1.9,5.2,2.4,3.5,79.4,5,51.9,5.2
T2 2017,-,21.5,3.3,-,16.5,23.5,-,19.6,17.5,27,17.7,24.5,18.1,-,N/A,N/A,N/A,N/A,N/A,-,1.5,5,-0.3,4.8,79.8,10,54.2,5.2
T3 2017,-,91.5,3.4,-,15.7,25.4,-,21.6,17.9,25.2,18,27.5,17.7,-,N/A,N/A,N/A,N/A,N/A,-,1.6,4.7,-0.9,5.3,48.7,14.6,54.6,5.2
T4 2017,-,53.9,3.2,-,17.4,24.8,-,20.6,17.8,24.8,18.9,27,17,-,N/A,N/A,N/A,N/A,N/A,-,1.5,4.3,-1.7,4.3,63.6,11.1,54.1,6.4
T5 2017,-,19.4,6,-,19,25.3,-,22,17.5,24.5,19.2,30.1,16.2,-,N/A,N/A,N/A,N/A,N/A,-,1.3,3.2,-4.3,3.4,63.6,8.1,51.6,6.4
T6 2017,-,70.4,6.5,-,18.7,24.9,-,19.1,21.1,22.3,20.3,27.1,15.5,-,N/A,N/A,N/A,N/A,N/A,-,1.3,2.5,-5.5,3.4,63.5,4.2,52.5,6.4
T7 2017,-,69.5,5.8,-,19.4,24.3,-,18.2,18.9,22.6,20.4,26.2,16,-,N/A,N/A,N/A,N/A,N/A,-,1.3,2.5,-4.6,3.2,64.3,1.4,51.7,7.4
T8 2017,-,62.6,5.1,-,19.9,23.3,-,19.5,18.9,28,20.3,26,16.2,-,N/A,N/A,N/A,N/A,N/A,-,1.3,3.4,-2.9,4.2,57.6,5.7,51.8,7.4
T9 2017,-,55.1,13.4,-,20.6,23.6,-,18.9,19,29.1,20.6,26.4,38.3,-,N/A,N/A,N/A,N/A,N/A,-,1.3,3.4,-2.9,4.9,58.1,6.7,53.3,7.4
T10 2017,-,60.3,11.8,-,21.8,22.6,-,19.4,18.6,29.7,21.2,32.5,15.1,-,N/A,N/A,N/A,N/A,N/A,-,1.3,3,-2.8,5.2,43.4,5.2,51.6,7.7
T11 2017,-,82.8,11.9,-,22.1,22.2,-,19.1,17.8,29.1,22,30.5,15.7,-,N/A,N/A,N/A,N/A,N/A,-,1.3,2.6,-3.6,4.6,42.1,4.2,51.4,7.7
T12 2017,-,71.3,10.8,-,21.8,21.9,-,18.2,15.5,27,21,25.8,15,-,N/A,N/A,N/A,N/A,N/A,-,1.3,2.6,-3.9,4.7,37.3,6,52.5,7.7
T1 2018,-,-21,23.5,-,40.6,53.1,-,14,16.4,19.6,5.4,13,13.5,-,N/A,N/A,N/A,N/A,N/A,-,1.2,2.7,-2.8,4.6,38.7,3.9,53.4,32.7
T2 2018,-,-1.8,9.7,-,25.5,20.3,-,14.5,15.9,23,6.9,11.1,15.9,-,N/A,N/A,N/A,N/A,N/A,-,1.5,3.2,-0.9,3.8,38.3,4.2,53.5,23.1
T3 2018,-,-24.8,7.2,-,24.5,13.3,-,14.1,14.9,25.5,6.9,9.8,15.6,-,N/A,N/A,N/A,N/A,N/A,-,1.4,2.7,-0.7,3,29.1,3,51.6,15.4
T4 2018,-,-23.9,6.3,-,19.1,9.9,-,14.4,14.5,27,7.1,11.6,17,-,N/A,N/A,N/A,N/A,N/A,-,1.3,2.8,0.1,3.4,16.8,5.6,52.7,6.7
T5 2018,-,-18.4,9.8,-,17.5,10.7,-,14.1,13.5,27.5,6.9,8.3,17.3,-,N/A,N/A,N/A,N/A,N/A,-,1.4,3.9,3.6,3.8,16.7,7.8,53.9,6.7
T6 2018,-,5.7,8.4,-,16.4,9.9,-,13.8,8.7,29.2,5.5,11.1,16.6,-,N/A,N/A,N/A,N/A,N/A,-,1.4,4.7,6.4,3.9,16.7,9.7,55.7,6.7
T7 2018,-,4.6,8.8,-,16.5,11.7,-,13.4,8,29.4,4.8,12,15.3,-,N/A,N/A,N/A,N/A,N/A,-,1.4,4.5,6.4,4.2,7.4,10.8,54.9,6.8
T8 2018,-,4.2,9.2,-,16.7,12.3,-,13.1,6.8,28.8,2.6,15.8,14.5,-,N/A,N/A,N/A,N/A,N/A,-,1.5,4,5.8,3.7,3.5,8.7,53.7,6.8
T9 2018,-,-0.4,6,-,15.8,11.5,-,13.1,7.1,26.5,2,12.4,13.4,-,N/A,N/A,N/A,N/A,N/A,-,1.6,4,6.3,3.2,3.2,7.9,51.5,6.8
T10 2018,-,-1.2,6.3,-,15.2,12.4,-,12.4,5.5,25.9,1.2,10.1,13.9,-,N/A,N/A,N/A,N/A,N/A,-,1.7,3.9,6.1,2.9,0.4,8.9,53.9,7.3
T11 2018,-,-6.8,3.1,-,14.6,12.2,-,11.6,4.1,24.6,-0.3,11,12.4,-,N/A,N/A,N/A,N/A,N/A,-,1.7,3.5,5.8,2.3,0.2,6.2,56.5,7.3
T12 2018,-,-1.2,9.1,-,13.3,11.2,-,10.8,3.3,23.1,-1.5,9.6,12.4,-,N/A,N/A,N/A,N/A,N/A,-,1.7,3,6.3,1.1,4.3,0.2,53.8,7.3
T1 2019,-,51.9,47.6,-,9.4,6.9,-,15,4.3,25.9,8,12.8,14.4,-,23.5,24.6,9,32.4,6.6,-,1.8,2.6,6.6,0.9,1.9,-4,51.9,6.8
T2 2019,-,153.2,51.8,-,4.1,6,-,13.6,3.9,24.7,6,11,11.6,-,23.5,24.6,9,32.4,6.6,-,1.8,2.6,7.1,1.7,1.9,4,51.2,6.8
T3 2019,-,86.2,6.2,-,5.2,7.8,-,13.5,3.6,23.7,5.7,11.7,11.2,-,23.5,24.6,9,32.4,6.6,-,1.8,2.7,6.1,2.8,-0.6,-1.7,51.9,6.8
T4 2019,-,81,11.8,-,6.5,10.7,-,13.2,3.6,23.8,4.6,10.6,10.2,-,14.4,14.6,3.2,-8.5,5.9,-,1.9,2.9,5.5,3.3,-0.6,1.4,52.5,6.7
